GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Coverage Report/gpd,it.gov.pagopa.debtposition.model.enumeration,PaymentOptionStatus,0,44,0,0,0,2,0,1,0,1
Coverage Report/gpd,it.gov.pagopa.debtposition.model.enumeration,Type,0,24,0,0,0,2,0,1,0,1
Coverage Report/gpd,it.gov.pagopa.debtposition.model.enumeration,DebtPositionStatus,0,130,0,0,0,5,0,4,0,4
Coverage Report/gpd,it.gov.pagopa.debtposition.model.enumeration,TransferStatus,0,24,0,0,0,2,0,1,0,1
Coverage Report/gpd,it.gov.pagopa.debtposition.validation,DebtPositionValidation,83,116,12,12,12,31,9,8,0,5
Coverage Report/gpd,it.gov.pagopa.debtposition.repository.specification,PaymentPositionByIUPD,10,17,1,1,2,3,2,2,1,2
Coverage Report/gpd,it.gov.pagopa.debtposition.repository.specification,PaymentPositionByOrganizationFiscalCode,10,17,1,1,2,3,2,2,1,2
Coverage Report/gpd,it.gov.pagopa.debtposition.repository.specification,PaymentPositionByDueDate,3,63,0,10,1,9,1,7,1,2
Coverage Report/gpd,it.gov.pagopa.debtposition.exception,ValidationException,12,4,0,0,6,2,3,1,3,1
Coverage Report/gpd,it.gov.pagopa.debtposition.exception,AppException,143,25,24,0,14,7,19,4,7,4
Coverage Report/gpd,it.gov.pagopa.debtposition.exception,AppError,9,122,0,0,3,14,3,2,3,2
Coverage Report/gpd,it.gov.pagopa.debtposition.exception,ErrorHandler,87,165,7,3,26,43,6,8,2,7
Coverage Report/gpd,it.gov.pagopa.debtposition.controller.pd.mapper,ConvertPPModelToPPEntityForUpdate,0,198,4,10,0,47,4,7,0,4
Coverage Report/gpd,it.gov.pagopa.debtposition.controller.pd.api.impl,DebtPositionController,22,335,2,8,2,43,2,10,0,7
Coverage Report/gpd,it.gov.pagopa.debtposition.controller,BaseController,0,4,0,0,0,2,0,2,0,2
Coverage Report/gpd,it.gov.pagopa.debtposition.util,ObjectMapperUtils,6,28,0,0,2,7,1,4,1,4
Coverage Report/gpd,it.gov.pagopa.debtposition.util,CommonUtil,18,33,0,0,6,7,2,2,2,2
Coverage Report/gpd,it.gov.pagopa.debtposition.model,PageInfo,183,31,38,0,3,6,28,6,9,6
Coverage Report/gpd,it.gov.pagopa.debtposition.model,PageInfo.PageInfoBuilder,10,35,0,0,0,1,1,6,1,6
Coverage Report/gpd,it.gov.pagopa.debtposition.model,ProblemJson.ProblemJsonBuilder,8,28,0,0,0,1,1,5,1,5
Coverage Report/gpd,it.gov.pagopa.debtposition.model,ProblemJson,159,25,30,0,3,5,24,5,9,5
Coverage Report/gpd,it.gov.pagopa.debtposition.model.pd,PaymentPositionModel,605,127,142,0,4,19,77,35,6,35
